,Article Title,Publication Year,Abstract,Author Keywords,resource_data
151,International robot soccer tournament and correlative technique,2000,"Based on the introduction of RoboCup Federation and FIRA (Federation of International Robot-soccer Association), we discuss RoboCup tournaments in details. The architectures and techniques of some RoboCup teams are introduced. The key techniques include distributed artificial intelligence (DAI), multiagent systems (MAS), machine learning and decision-making.",,第3页.xls
152,Study on cooperative air combat command control system based on MAS,2007,"According to the needs of independence and coordination for command control decision-making in cooperative air combat, we studied some technical issues about the application of multi-agent system (MAS) in command and control system for multi-aircraft cooperative combat. A centralized-distributed organization model based on MAS of the cooperative air combat command control is proposed, and a BDOTI logical structure of the airborne command control system is developed by means of extending the traditional BDI logic structure. The combat team organization based on structure is proposed,and the combat actions of the combat team are coordinated by pi-calculus.",,第3页.xls
153,A Logical View on Teamwork,2012,"This chapter presents the non-dynamic part of a formal framework for teamwork in multi-agent systems. The framework consists of botha static part, defining collective motivational attitudes in such a way that the system developer can adapt them to the circumstances, anda dynamic partmonitoring the changes in team attitudes during the course of cooperative problem solving (CPS).In the first part of this chapter, the notion ofcollective intentionin teams of agents is investigated. Starting from individualintentions,goals, andbeliefsdefining agents local attitudes, we arrive at an understanding of collective intention in cooperative teams as a rather strong concept: it implies that all membersintendfor all others to share that intention. This way a team is glued together by collective intention, and exists as long as this attitude holds, after which it may disintegrate.Collective intentions are formalized in a multi-modal logical framework. Together with individual and common knowledge and/or belief, collective intention constitutes a basis for preparing a plan, reflected in the strongest attitude, i.e., incollective commitment, defined and investigated in the next part. Distinct versions of collective commitments that are applicable in various situations, differ with respect to theaspectsof teamwork of which the agents involved are aware, and thekindof awareness present within a team. This way a kind of tuning mechanism is provided for the system developer to tune a version of collective commitment fitting the circumstances. Finally, a few exemplar versions of collective commitment resulting from instantiating the general tuning scheme are presented.",,第3页.xls
154,An agent-based approach to grid service monitoring,2006,"The centralised management of distributed computing infrastructures presents a number of considerable challenges, not least of which is the effective monitoring of physical resources and middleware components to provide an accurate operational picture for use by administrative or management staff. The detection and presentation of real-time information pertaining to the performance and availability of computing resources is a difficult yet critical activity. This architecture is intended to enhance the service monitoring experience of a grid operations team. We have designed and implemented an extensible agent-based architecture capable of detecting and aggregating status information using low-level sensors, functionality tests and existing information systems. To date it has been successfully deployed across eighteen Grid-Ireland sites.",,第3页.xls
155,A multi-agent system with case-based reasoning mechanisms for engineering experiment review process,2007,"Using case-based reasoning (CBR) methods, the authors integrate the techniques of multi-agent systems (MAS), workflow systems to propose a distributed CBR knowledge management system for improving the efficiency of engineering experiment review processes. For a global company with multiple R&D teams located in different sites, this approach can eliminate duplicate workload on unnecessary engineering experiments and obtain the best practices from past experiment experiences. In addition, this approach uses the workflow mechanism to mandatorily revise the knowledge of retrieval rules and add new cases into case libraries. This solution mitigates the difficulty of maintaining knowledge databases.",,第3页.xls
156,Decentralized path planning for multi-agent teams with complex constraints,2012,"This paper presents a novel approach to address the challenge of planning paths for multi-agent systems subject to complex constraints. The technique, called the Decentralized Multi-Agent Rapidly-exploring Random Tree (DMA-RRT) algorithm, extends the Closed-loop RRT (CL-RRT) algorithm to handle multiple agents while retaining its ability to plan quickly. A core component of the DMA-RRT algorithm is a merit-based token passing coordination strategy that makes use of the tree of feasible trajectories grown in the CL-RRT algorithm to dynamically update the order in which agents replan. The reordering is based on a measure of each agent's incentive to change the plan and allows agents with a greater potential improvement to replan sooner, which is demonstrated to improve the team's overall performance compared to a traditional, scripted replan order. The main contribution of the work is a version of the algorithm, called Cooperative DMA-RRT, which introduces a cooperation strategy that allows an agent to modify its teammates' plans in order to select paths that reduce their combined cost. This modification further improves team performance and avoids certain common deadlock scenarios. The paths generated by both algorithms are proven to satisfy inter-agent constraints, such as collision avoidance, and numerous simulation and experimental results are presented to demonstrate their performance.",,第3页.xls
157,CoPS-Team description,2001,This paper presents the hardware and software design principles of the medium size RoboCup Team CoPS Stuttgart which axe developed by the image understanding group at the Institute for Parallel and Distributed High Performance Systems (IPVR) of the University of Stuttgart. By adapting already successfully tested multiagent software concepts by our group to the domain of robotic soccer we intend to improve those concepts at the field of realtime applications with uncertain sensory data.,,第3页.xls
158,"Wireless Sensor Networks, Real-Time Locating Systems and Multi-Agent Systems: The Perfect Team",2013,This paper presents a project aimed at combining wireless sensor networks and real-time locating systems by means of a multi-agent platform based on virtual organizations. This approach makes use of the n-Core platform to provide the basic sensing and locating infrastructure. Several case studies are presented in order to facilitate the comprehension of the goals of this project.,,第3页.xls
159,HELIOS Base: An Open Source Package for the RoboCup Soccer 2D Simulation,2014,"To promote the research of multiagent systems, several base codes have been released for the RoboCup soccer 2D simulation community. As described herein, we present HELIOS base, currently the most popular base codes for 2D soccer simulation. HELIOS base involves a common library, a sample team, a visual debugger, and a formation editor, which help us to develop a simulated soccer team.",,第3页.xls
160,Ontological overhearing,2002,"The collaboration between two intelligent agents can be greatly enhanced if a third agent, who has some understanding of the communication between the first two, intervenes giving appropriate information or acting helpfully without having been explicitly involved. The behavior of this third agent, quite common in human interaction, is called overhearing. We present an agent architecture modeling this behavior. In particular, we focus on overhearing based on ontological reasoning; that is, the overhearer semantically selects pieces of communication according to his own knowledge (ontologically organized) and goals. In our architecture, overhearing is performed by a learn of agents playing two different roles: the first role (overhearer) classifies the overheard communication according to a formal ontology; the second role (suggester) makes appropriate suggestions at the appropriate time point. We present a formal language for the interaction between agents in the overhearing team. A prototype of the architecture, implemented using JACK Intelligent Agents, is briefly described and preliminary experimental results are discussed.",,第3页.xls
161,Group decision-based collaborative design,2006,"There is a growing recognition that decisions are the fundamental construct in product design. The collaborative design process gets more complex when a group of geographically dispersed designers work as a team. In this paper, we take a group decision-based approach to model design process and introduce an agent-based architecture to support collaborative design. The proposed architecture achieves the design decisions integration between design members in a dynamic design environment. In particular, the proposed agents can provide the interaction spaces for coordinating the individual design decisions. Finally, the mechanism of coordination between agents is discussed.",,第3页.xls
162,Strategy Description and Modelling for Multi-Agent Systems (Invited Paper),2008,"The field of robot soccer provides numerous opportunities for the application of AI methods for game strategy development. Robot soccer is a part of standard applications of distributed system control in real time. The software part of a distributed control system is realized by decision making and executive agents. The algorithm of agents' cooperation was proposed with the control agent on a higher level. The algorithms for agents realized in robots are the same. Real-time dynamic simple strategy description and strategy learning possibility based on game observation is important for discovering opponents strategies and searching for tactical group movements, simulation and synthesis of suitable counter-strategies. For the improvement of game strategy, we are developing an abstract description of the game and propose ways to use this description (e.g. for learning rules and adapting team strategies to every single opponent).",,第3页.xls
163,Distributed decision making in organizations,1990,"Problems and concepts for understanding how expert systems can be thought about, designed, and used in organized activity are discussed. Considerations and concepts from distributed artificial intelligence are explained, noting the connection with research in the computer support of organized activity. The author's recent research in two areas is outlined. They are cooperation in a vertical structure of an organizational hierarchy and horizontal cooperation among a team of agents with different specializations, solving a joint problem.",,第3页.xls
164,The research of MAS dynamic cooperation model based role,2010,"This paper based on summarizing traditional several cooperation models, present a kind of MAS (multi- Agent systems) cooperation model based role (dynamic cooperative model, DCMBR). This paper introduces role notion to DCMBR, host-Agent decompounds the task, utilizes the role information library, search the appropriate Agent, makes up to a dynamic union, then realize MAS cooperation by task allocation mechanism, completes specific task.. We apply DCMBR model to the team design of robot football emulation game, get the anticipant effect.",,第3页.xls
165,Mobile agent based message communication in large ad hoc networks through co-operative routing using inter-agent negotiation at rendezvous points,2005,"The wide availability of mobile devices together with the technical possibility to form ad-hoc networks paves the way for building highly dynamic communicating communities of mobile users. A challenge is how to deliver messages in such networks incurring least routing overhead. Cooperative routing is a mobile-agent assisted team approach, which utilizes a set of fixed cluster head nodes to provide proper coordination and cooperation for exchanges and sharing of messages in the team. Our routing strategy aims at reducing routing overheads, message traffic and unnecessary random node visits in the network for delivering data. The main benefit provided by cooperative routing is considerable network traffic reduction at high load. We highlight the main components of the system and discuss the agent life cycle in detail together with the parameters and strategies governing the migration of agents, their merging and termination.",,第3页.xls
166,Optimizing proportional reward in the multi agent RL system,2006,"Reinforcement teaming methods which have been applied for Multi Agent Systems (MAS), usually originates form single agent system. So they determine a reward for transition from one state to another state and affect the reward to the Q of all actions equivalently. Assigning one reward to all actions of an state transition, cause favorable action would be confirmed as same as unfavorable actions, so the teaming period will be lengthened.In this paper first we review a new method proposed by the authors for Multi Agent System, which assigns a fraction of rewards to action in proportion to the Q of each action and so it is called rewarding proportional to Q or RPQ. There are some parameters affect on the RPQ optimization, which is discussed in this paper. Simulation is used to show how RPQ teaming speed and final outcome are changed according to algorithm parameters.",,第3页.xls
167,Self-enforcing agreement in cooperative teams: an agent-based modeling approach,2016,"Purpose: In cooperative teams (such as agricultural cooperatives), self-enforcing agreement plays a critical role in guaranteeing memberswork incentives when the monitoring from a third party is absent. In order to provide an effective sanction to the violators so as to maintain the agreement, two seemingly conflicting strategies are proposed. One is allowing the members to exit the team freely. The other is imposing a high exit cost to restrict members from leaving the team. The arguments behind each strategy are elaborated in Lin (J Comp Econ 17:504-20, 1993) and Dong and Dow (J Comp Econ 17:472-84, 1993), respectively. However, these strategies have never been tested in the same model. In fact, no formal model is presented for one of the arguments. To fill this gap, we develop a model that incorporates the two arguments as two scenarios in a shared framework. Methods: An agent-based model is developed to test the two competing hypotheses in the theory of self-enforcing agreement. The model takes heterogeneity of team members (e.g., their laziness, work ability and patience to future well-being) into consideration, which allows us to better understand the divergence of these two arguments. Results: Using the agent-based model, we conduct computational experiments for testing the two hypotheses. Estimation on the experiment outputs show that (1) The sustained discount rate is lower in exit-free cooperative teams than exit-restricted ones when shirking members exist, which confirms the argument of Lin (J Comp Econ 17:504-20, 1993), and (2) The sustained discount rate is lower in exit-restricted teams than exit-free ones when membersleisure preferences are not too diverse and the economics of scale are not too large, or when the sizes of the teams are large enough, which verifies the argument of Dong and Dow (J Comp Econ 17:472-84, 1993). Conclusion: We find the two arguments essentially claim different consequences under different conditions of memberscharacteristics and team size. Our study demonstrates agent-based simulation can be an effective approach of testing game theoretical arguments and exploring game theoretical ideas.",,第3页.xls
168,"MHiCS, a modular and hierarchical classifier systems architecture for bots",2003,"Classifier systems (CS) are used as control architectures for simulated animals or robots in order to decide what to do at each time. We will explain why these systems are good candidates for the adaptive action selection mechanisms of a Bot (a simulated player). After introducing MHiCS, our control architecture adapted to the specific constraints of multiplayer games, we will present the first results on a Team Fortress Classic scenario.",,第3页.xls
169,WebAnima: A web-based embodied conversational assistant to interface users with multi-agent-based CSCW applications,2008,"WebAnima is an interface agent special v designed to assist team members of a CSCW application during their daily work based on computers. in WehAnima, the intelligent behavior is guaranteed thanks to a conversational interface and ontologies that support semantic interpretation. We believe that embodied conversational assistants will improve the quality of assistance and increase collaboration between project members. In this paper, we present the embodied conversational assistant and its insertion into a multi-agent system designed for research and development projects. We describe the design of the agent, highlighting the role of ontologies for semantic interpretation and the dynamic behavior of the embodied animated agent.",,第3页.xls
170,A Novel Approach to Large-scale Services Composition,2013,"We investigate a multi-agent reinforcement learning model for the optimization of Web service composition in this paper. Based on the model, a multi-agent Q-learning algorithm was proposed, where agents in a team would benefit from one another. In contrast to single-agent reinforcement-learning, our algorithm can speed up the convergence to optimal policy. In addition, it allows composite service to dynamically adjust itself to fit a varying environment, where the properties of the component services continue changing. A set of experiments is given to prove the efficiency of the analysis. The advantages and the limitations of the proposed approach are also discussed.",,第3页.xls
171,Agent-based integration of rescue systems for first responders,2012,"Routine operations of emergency first responders are usually well managed. The situation is different for mass casualty emergencies where more people and properties are threatened. In such situations there are no predefined plans in place and mitigation is solved mostly through crisis management. Teams managing such acute accidents are often working in information insufficiency. Timely information exchange between involved agencies, common understanding of data and fast provision of knowledge can save lives and protect properties. Useful information is heterogeneous and is distributed across many organizations in disparate information sources in many formats with different access policies and in varying quality. The information sources range from sensors deployed on incidence sites, publicly available data sources, corporate legacy systems, documents stored on remote locations to human end-users providing information using mobile devices. This article addresses operational challenges of First Responders and complementary challenges in accessing and analyzing information from multiple sources to provide advanced capabilities for command and control in emergency response. Herein we propose to use an agent-based infrastructure for supporting such interoperability. We propose to build the framework amplifying an agent infrastructure developed in scope of the SECRICOM EU integrated project. In this article we focus mainly on the conceptual architecture of such integration framework.",,第3页.xls
172,"AEGONE - Agent-enabled, grid-oriented, and just-in-time network of experts",2006,"Consider a model developed by a multidisciplinary team of scientists. This model will be used by researchers to support some scientific investigation. However, this investigation might be hampered if the researcher needs to interface (on the fly) with the members of the inter-disciplinary team responsible for the development of the model. The situation becomes more complicated if the following occurs: (a) multiple distributed models are needed for the researcher's scientific endeavor and (b) a similar need for interaction with the model-development teams arises. (As an example, consider a weather researcher who needs access to multiple weather models from different localities and each model reflects the contributions of several experts in air currents, air pressure, temperature, etc.)This paper presents an innovative integrated solution to the two problems identified above (i.e., access to multidisciplinary team members responsible for model development and access to multiple distributed models and other data/information resources in a user-friendly transparent way) with the introduction of Agent-Enabled, Grid-Oriented Network of Expert agents (AEGONE). AEGONE is a system under development to give researchers just-in-time access to expert domain knowledge. This system will enable them to conduct scientific investigations and transparent access to distributed models and other resources without the immediate need to interface with human experts or knowledge of the complexity of the underlying grid-oriented and agent-mediated infrastructures.(12)AEGONE extends the capabilities of current grid-oriented computing systems and DARPA's Coalition Agents eXperiments (CoAX).",,第3页.xls
173,Database Driven RoboCup Rescue Server,2009,"The RoboCup Rescue Simuation a generic urban disaster simulation environment constructed oil a network of computers, has been in existence, for many years. The server used in the simulation league has problems of scaling up. Further it, requires considerable effort to understand the server code to make any additional changes. Therefore, it is difficult for newcomers to quickly enhance the server. The architecture and the functional desin of die current server are excellent. This helps us provide a database driven architecture that can scale up the current server to 10-15 times the number of agents that can be simulated. Moreover. it; is now easy for others to implement many other subsystems that can provide additional functionality. We have also shown in this paper a new scoring strategy for agents teams which can be customized to emphasize, test, and evaluate different concepts and strategies employed by the agent teams.",,第3页.xls
174,Learning soccer strategies by genetic programming,2000,"Learning and evolving in artificial agents is an extremely difficult problem, but on the other hand, a challenging task. At present the studies are mainly centered on single agent learning problems. In our case, we use simulated soccer to investigate multi-agent cooperative learning. Considering the fundamental differences in learning mechanism, existing reinforcement learning algorithms can be roughly classified into two classes: one based on evaluation functions and one searching through policy space directly. Genetic programming developed from genetic algorithms is one of the most well known approaches that belong to the latter class. The authors present a detailed algorithm as well as a data construction description that are necessary for learning single agent strategies. They go on to extend the developed methods into multiple robot domains. They investigate and contrast three different solutions: single agent learning, simple team learning and sub-group learning, and conclude the article with some actual experiments and results analyses.",,第3页.xls
175,"On social commitment, roles and preferred goals",1998,"We present a framework for modelling various types of influences on an agent's prioritising of its goals, with emphasis on obligations arising from the agent's roles in designated relationships. The framework is based on work of Bell and Huang on goal hierarchies and intention revision, and incorporates notions related to social goal adoption and social commitment as discussed by Castelfranchi. We use roles as an abstraction to enable the agent designer to scope the sphere of influence of one agent with respect to another. Roles then provide a way to specify how the agent should balance competing obligations from different relationships, and from tensions between personal preferences and social obligations. This approach seems to integrate well with the use of team plans for implementing collaborative behaviour.",,第3页.xls
176,A functional architecture for a team of fully autonomous cooperative robots,2000,"A three-level functional architecture for a team of mobile robots is described in detail, including the definition of the role assigned, to each level, the main concepts involved, and the corresponding implementation for each individual robot. The architecture is oriented towards teams of fully autonomous cooperative robots, able to carry out different types of cooperative tasks. Complexity is reduced by the decomposition of team strategies into individual behaviors, which in turn are composed of primitive tasks. Relationships among robots of the team are modeled upon the joint intentions framework. An application to Robotic Soccer and some of its preliminary results are presented.",,第3页.xls
177,Development and Specification of a Reference Model for Agent-Based Systems,2009,"Agent-based systems have been the object of intense research over the past decade. While great theoretical progress has been made, the software frameworks for creating agent-based systems offer considerable variability in their capabilities and functionality. This paper introduces a reference model for agent-based systems. The purpose of a reference model is to provide a common conceptual basis for comparing systems and driving the development of software architectures and other standards. The Foundation for Intelligent Physical Agents and other groups have advanced a number of agent standards, yet, to date, no comprehensive reference model has been presented for software systems composed of agents. This paper provides an overview of a reference model for agent-based systems. The agent systems reference model is the result of a multiyear effort studying software systems built with agents and software frameworks for implementing these systems. As part of this study, the team applied software reverse engineering techniques to perform static and dynamic analysis of operational agent-based systems. This analysis enabled identification of key common concepts across over one dozen different agent frameworks. To demonstrate its applicability, the reference model is then used to analyze a number of complete agent-based software systems. It is the belief of the authors that the reference model will be an essential prerequisite for future transition, deployment, and integration of agent-based systems.",,第3页.xls
178,Multiagent approach to solve project team work allocation problems,2009,"In today's fiercely competitive market, embedded software development teams are driven to do more with less: reduce time to market, costs and risk, while improving quality and predictability. There is also an increasing need to deliberately organise the teams that initially involves the division of the project into tasks; the selection of the right people; and the correct allocation of those tasks for the selected people. Team configuration process is typically performed by a project manager based on his/her past experience and the available (though frequently scarce, uncertain and dynamic) information about the cognitive, emotion and social characteristics of the potential team members. To support this decision-making process we propose the Fuzzy Belief-Desire-Intention architecture, a multiagent approach that given an initial team configuration and a set of tasks, simulates the most possible team performance. Its architecture bases are fuzzy set theory and fuzzy logic and it is implemented using Multiagent Systems technology in Java and Jadex. Tests have been carried out in which the architecture has been applied to a set of tasks involving the embedded software development. The result predicted by our architecture with the performance of an engineering team in a real industrial project is made.",,第3页.xls
179,RAW 2024 Invited Talk-9 Riallto: An Open-Source Exploratory Framework for Ryzen AI™,2024,"In this presentation we will describe the AMD Ryzen AI (TM) platform and its Neural Processing Units (NPUs). We will present Riallto, an open-source exploration framework for first time users of the NPU developed by teams from the AMD Research and Advanced Development group and the AMD University Program. AMD Ryzen AI is the world's first built-in AI engine on select x86 computers. This dedicated engine is built on the AMD XDNA (TM) spatial dataflow NPU architecture consisting of a tiled array of AI Engine processors and is designed to offer lower latency and better energy efficiency. Such processor arrays are also found in the Versal Adaptive SoC enabling rapid development and evaluation across heterogenous architectures. This integration optimizes efficiency by offloading specific AI processing tasks such as background blur, facial detection, and eye gaze correction, freeing up CPU and GPU cycles and enhancing system efficiency. With Ryzen AI-powered laptops or miniPCs, you can develop innovative applications spanning creative solutions like media editing and studio effects or productivity solutions like Information search, summarization, transcription and so much more. Ryzen AI also caters to the gaming industry providing a platform to create real-time audio/video effects, image enhancement, NPC Agents, RL, and rendering applications. Riallto lowers the barrier of entry and access to the AIEs and includes a wealth of education material via Jupyter Notebooks that makes understanding and using ML accelerators in an ever increasing heterogenous environment.",,第3页.xls
180,Distributed Allocation of Mobile Sensing Agents in Geophysical Flows,2014,"We address the synthesis of distributed control policies to enable a homogeneous team of mobile sensing agents to maintain a desired spatial distribution in a geophysical flow environment. Geophysical flows are natural large-scale fluidic environments such as oceans, eddies, jets, and rivers. In this work, we assume the agents have a map of the fluidic environment consisting of the locations of the Lagrangian coherent structures (LCS). LCS are time-dependent structures that divide the flow into dynamically distinct regions, and are time-dependent extensions of stable and unstable manifolds. Using this information, we design agent-level hybrid control policies that leverage the surrounding fluid dynamics and inherent environmental noise to enable the team to maintain a desired distribution in the workspace. We validate the proposed control strategy using flow fields given by: 1) an analytical time-varying wind-driven multi-gyre flow model, 2) actual flow data generated using our coherent structure experimental testbed, and 3) ocean data provided by the Navy Coastal Ocean Model (NCOM) database.",,第3页.xls
181,Teamwork coordination in large-scale mobile agent networks,2006,This paper deals with multi-agent systems coordinated via teamwork in large-scale. networks. A formal model based on the Fragmented Mobile Agent Network is proposed. An agent team is described as a knowledge-based system that includes subteams consisting of coordination agents and mobile subteam members organised according to a predefined subteam coordination plan. A case study considering a scenario in which multi-operation teamwork agents upgrade software employed in a Grid network was conducted. A performance analysis based on simulations of networks with different fragment sizes and subteam coordination plans is presented.,,第3页.xls
182,Model-Based Diagnosis of Multi-Agent Systems: A Survey,2022,"As systems involving multiple agents are increasingly deployed, there is a growing need to diagnose failures in such systems. Model-Based Diagnosis (MBD) is a well known AI technique to diagnose faults in systems. In this approach, a model of the diagnosed system is given, and the real system is observed. A failure is announced when the real system's output contradicts the model's expected output. The model then is used to deduce the defective components that explain the unexpected observation. MBD has been increasingly being deployed in distributed and multi-agent systems. In this survey, we summarize twenty years of research in the field of model-based diagnosis algorithms for MAS diagnosis. We depict three attributes that should be considered when examining MAS diagnosis: (1) The objective of the diagnosis. Either diagnosing faults in the MAS plans or diagnosing coordination faults. (2) Centralized vs. distributed. The diagnosis method could be applied either by a centralized agent or by the agents in a distributed manner. (3) Temporal vs. non temporal. Temporal diagnosis is used to diagnose the MAS's temporal behaviors, whereas non-temporal diagnosis is used to diagnose the conduct based on a single observation. We survey diverse studies in MBD of MAS based on these attributes, and provide novel research challenges in this field for the AI community.",,第3页.xls
183,DynaInteg:: Meta-ontology supporting dynamic knowledge sharing and acquisition for multi-agent cooperation,2000,"Cooperation is one of the central components in most multi-agent systems. This paper introduces a cooperation protocol through knowledge sharing among intelligent agents by using meta-ontology DynaInteg. DynaInteg permits agents to acquire any other common ontologies which are used by other team members in a multi-agent enviromnent. So DynaInteg provides the functionality for each agent to build or extend its common ontology to achieve dynamic knowledge sharing. Such a protocol enables agents to cooperate for problem solving in dynamic multi-agent environments. In this paper, the methodology of dynamic knowledge sharing and acquisition in DynaInteg is introduced, and knowledge representation of DynaInteg is described. Furthermore, the implementation issues of DynaInteg are also discussed in detail.",,第3页.xls
184,Adaptive agent integration architectures for heterogeneous team members,2000,"With the proliferation of software agents and smart hardware devices there is a growing realization that large-scale problems call be addressed by integration of such stand-alone systems. This has led to an increasing interest in integration architectures that enable a heterogeneous variety of agents and humans to work together These agents and humans differ in their capabilities, preferences, the level of autonomy they are willing to grant the integration architecture and their information requirements and performance. The challenge in coordinating such a diverse agent set is that potentially a large number of domain-specific and agent-specific coordination plans may be required. We present a novel two-tiered approach to address this coordination problem. We first provide the integration architecture with general purpose teamwork coordination capabilities, but then enable adaptation of such capabilities for the needs or requirements of specific individuals. A key novel aspect of this adaptation is that it takes place in the context of other heterogeneous team members. We are realizing this approach in an implemented distributed agent integration architecture called Teamcore. Experimental results from two different domains are presented.",,第3页.xls
185,Investigating the evolving context of an unstable approach in aviation from mental model disconnects with an agent-based model,2020,"Unstable approach is an adverse aviation event, and it is strongly related to the interaction between pilots and air traffic controllers (ATCOs). Mental model disconnects among team members can be a major cause of possible interaction conflicts and defective team cognition. Therefore, to study the negative effects of various mental model disconnects, a framework of evolving team cognition (FETC) is proposed to examine the evolving context of an accident. An agent-based model (ABM) is developed to simulate how mental model disconnects are involved in evolving landing scenarios. The results of a simulation conducted with the ABM indicate that mental model disconnects occur more frequently as an aircraft approaches the terminal area. For landing scenarios in the outer area between 100 and 50 nautical miles (Nm), task-related mental model disconnects occur more frequently, causing incompatibility between parties. The incompatibility reveals the necessity of extra coordination to prevent the potential occurrence of system errors. As for the scenarios around the terminal area (30-15 Nm), the team-related mental model disconnects prevail, leading to passive information dissemination regarding changing conditions and late initiation of urgent coordination. The combination of these factors causes a team to miss the window for preventing an adverse event.",,第3页.xls
186,Build a Soccer Server team with an environmental-agents,2002,"Much attention is paid to RoboCup tournament development in recent years. Many researchers are involved in designing and manufacturing the new type robots to win the game. As the simulator league of RoboCup tournament, the Soccer Server system is a typical multi-agent system. In general, there are three kinds of agent architectures: deliberation, reactive agent and hybrid architecture. Many conventional object-oriented models suffer problems in the representation of multiple objects. A multiple object is an object with multiple aspects, autonomy, and pro-activeness. This paper proposes a new agent model, which applies the agent-oriented paradigm to represent multiple objects. This agent model consists of three types of agents as follows: (a) an upper-agent which describes an autonomous and dynamic object; (b) a lower-agent which describes a reactive and static object; and (c) an environmental-agent which describes the environment of the other agents. As an example, we model soccer players (a kind of multiple objects) in environmental-agent. Three kinds of soccer agents are constructed with different powers. With soccer server we simulate the soccer games to confirm the effectiveness of our model.",,第3页.xls
187,Data mining techniques for RoboCup soccer agents,2005,The paper describes an application of the data mining components with learning for RoboCup soccer agents. Data mining modules capable of online learning in dynamically changing environment are suggested. These modules provide for adaptive agent behavior in the form of the cognitive control systems that are able to self-tune in non-deterministic environment. Reinforcement learning is considered as the basic method for forming an agent behavior. A cognitive soccer agent for RoboCup Simulation League competitions capable of on-line learning has been developed and studied. Examples of shooting and teamwork are considered. The STEP team based on the cognitive agent succeeded in RoboCup German Open 2004 and was the winner of the RoboCup-2004 World Championship in simulation league.,,第3页.xls
188,(When) Can AI Bots Lie?,2019,"The ability of an AI agent to build mental models can open up pathways for manipulating and exploiting the human in the hopes of achieving some greater good. In fact, such behavior does not necessarily require any malicious intent but can rather be borne out of cooperative scenarios. It is also beyond the scope of misinterpretation of intents, as in the case of value alignment problems, and thus can be effectively engineered if desired (i.e. algorithms exist that can optimize such behavior not because models were misspecified but because they were misused). Such techniques pose several unresolved ethical and moral questions with regards to the design of autonomy. In this paper, we illustrate some of these issues in a teaming scenario and investigate how they are perceived by participants in a thought experiment. Finally, we end with a discussion on the moral implications of such behavior from the perspective of the doctor-patient relationship.",,第3页.xls
189,Evolving behaviors for cooperating agents,2000,"A good deal of progress has been made in the past few years in the design and implementation of control programs for autonomous agents. A natural extension of this work is to consider solving difficult tasks with teams of cooperating agents. Our interest in this area is motivated in part by our involvement in a Navy-sponsored micro air vehicle (MAV) project in which the goal is to solve difficult surveillance tasks using a large team of small inexpensive autonomous air vehicles rather than a few expensive piloted vehicles. Our approach to developing control programs for these MAVs is to use evolutionary computation techniques to evolve behavioral rule sets. We describe our architecture for achieving this, and present some of our initial results.",,第3页.xls
190,Agent-based features for CAD browsers to foster engineering collaboration over the Internet,2003,"For distributed engineers, CAD browsers are very good tools to collaborate asynchronously over the Internet. Support for synchronous collaboration is well researched and developed. However, for asynchronous collaboration systems, the research is very limited. The purpose of this study is to identify the major factors that affect the efficiency of engineering collaboration over the Internet using CAD browsers and design-agent-based features to support engineering collaboration. Activity coordination, collaboration awareness, and communication support were identified as the major factors for efficient engineering collaboration using CAD browsers. The agent-based features of Comment Status, Communication Agent, Team Member Information Enhancement, and Task Information Enhancement were designed to support communication, activity coordination, and collaboration awareness issues for engineering collaboration. A prototype of the CAD browser was designed. Three experiments were conducted to test the efficiency of the new proposed features in the agent system. The experimental results indicate that (a) the Comment Status feature reduced the missing rates of comments and comment processing time, (b) the Communication Agent reduced delay time in processing comments, and (c) the features of Team Member Information and Task Information Enhancement improved collaboration efficiency and subject satisfaction.",,第3页.xls
191,Intra-role coordination using group communication: A preliminary report,2003,"We propose group communication for agent coordination within active rooms and other pervasive computing scenarios featuring strict real-time requirements, inherently unreliable communication, and a large but continuously changing set of context-aware autonomous systems. Messages are exchanged over multicast channels, which may remind of chat rooms in which everybody hears everything being said. The issues that have to be faced (e.g., changing users' preferences and locations; performance constraints; redundancies of sensors and actuators; agents on mobile devices continuously joining and leaving) require the ability of dynamically selecting the best agents for providing a service in a given context. Our approach is based on the idea of implicit organization, which refers to the set of all agents willing to play a given role on a given channel. An implicit organization is a special form of team with no explicit formation phase and a single role involved. No middle agent is required. A set of protocols, designed for unreliable group communication, are used to negotiate a coordination policy, and for team coordination. Preconditions and effects of these protocols are formalized by means of the joint intention theory (JIT).",,第3页.xls
192,Multi-Agent Coordination for a Partially Observable and Dynamic Robot Soccer Environment with Limited Communication [arXiv],2024,"RoboCup represents an International testbed for advancing research in AI and robotics, focusing on a definite goal: developing a robot team that can win against the human world soccer champion team by the year 2050. To achieve this goal, autonomous humanoid robots' coordination is crucial. This paper explores novel solutions within the RoboCup Standard Platform League (SPL), where a reduction in WiFi communication is imperative, leading to the development of new coordination paradigms. The SPL has experienced a substantial decrease in network packet rate, compelling the need for advanced coordination architectures to maintain optimal team functionality in dynamic environments. Inspired by market-based task assignment, we introduce a novel distributed coordination system to orchestrate autonomous robots' actions efficiently in low communication scenarios. This approach has been tested with NAO robots during official RoboCup competitions and in the SimRobot simulator, demonstrating a notable reduction in task overlaps in limited communication settings.",,第3页.xls
